verse;English;Basque;gloss;marker;allomorph;case;role;noun-class;remarks_morph;remarks_sem;text;author;year;century;period;place;dialect;
(Mark 13,9);"But take heed to yourselves: for they shall deliver you up to councils; and in the synagogues ye shall be beaten: and ye shall be brought before rulers and kings for my sake, for a testimony against them.";"«Kontu izan zeuen buruarekin! Auzitegi eta sinagogetara eramango zaituztete eta zigortu egingo; agintari eta erregeen aurrean jarriko zaituztete niregatik, eta aitorpen egingo duzue haien aurrean.";;gatik;;CAUS;Cause;pronoun;;negative;Gospel of Mark - Interconfessional Translation into Southern Standard Basque;;2004;21;Contemporary;Biscay and Guipuscoa;Unified;
(Mark 13,10);And the gospel must first be published among all nations.;Zeren eta, azkena baino lehen, herri guztiei hots egina izan behar baitu berri onak.;;ren_eta;;add;Cause;connector;;;Gospel of Mark - Interconfessional Translation into Southern Standard Basque;;2004;21;Contemporary;Biscay and Guipuscoa;Unified;
(Mark 13,12);"Now the brother shall betray the brother to death, and the father the son; and children shall rise up against their parents, and shall cause them to be put to death.";"Anaiak anaia emango du heriotzara, eta aitak semea; seme-alabak gurasoen kontra altxatuko dira eta hil egingo dituzte.";;ren_kontra;;postp;Maleficiary;kinship;;;Gospel of Mark - Interconfessional Translation into Southern Standard Basque;;2004;21;Contemporary;Biscay and Guipuscoa;Unified;
(Mark 13,13);And ye shall be hated of all men for my name's sake: but he that shall endure unto the end, the same shall be saved.;"Mundu guztiak gorroto izango dizue niregatik; baina azkeneraino sendo irauten duena, horixe izango da salbatua.";;gatik;;CAUS;Cause;pronoun;;;Gospel of Mark - Interconfessional Translation into Southern Standard Basque;;2004;21;Contemporary;Biscay and Guipuscoa;Unified;
(Mark 13,15);And let him that is on the housetop not go down into the house, neither enter therein, to take any thing out of his house:;etxe gainean dagoena ez bedi jaits etxetik ezer hartzera,;;ra;;ALL;Purpose;nominalization;;;Gospel of Mark - Interconfessional Translation into Southern Standard Basque;;2004;21;Contemporary;Biscay and Guipuscoa;Unified;
(Mark 13,16);And let him that is in the field not turn back again for to take up his garment.;eta soroan dena ez bedi itzul soingaineko bila. ;;bila;;postp;Purpose;clothes;;;Gospel of Mark - Interconfessional Translation into Southern Standard Basque;;2004;21;Contemporary;Biscay and Guipuscoa;Unified;
(Mark 13,19);For in those days shall be affliction, such as was not from the beginning of the creation which God created unto this time, neither shall be.;"Zeren egun haiek egun larriak izango baitira; ez da horrelako larrialdirik izan Jainkoak sortu zuen mundu honen hasieratik orain arte, ezta izango ere. ";;ren;;GEN;Cause;connector;;;Gospel of Mark - Interconfessional Translation into Southern Standard Basque;;2004;21;Contemporary;Biscay and Guipuscoa;Unified;
(Mark 13,20);And except that the Lord had shortened those days, no flesh should be saved: but for the elect's sake, whom he hath chosen, he hath shortened the days.;"Eta Jaunak aldi hori laburtuko ez balu, ez litzateke inortxo ere bizirik aterako; baina, berak hautatu dituen aukeratuak direla eta, laburtu egingo ditu egun horiek.";;la_eta;;sub_add;Motive;people;;;Gospel of Mark - Interconfessional Translation into Southern Standard Basque;;2004;21;Contemporary;Biscay and Guipuscoa;Unified;
(Mark 13,22);For false Christs and false prophets shall rise, and shall shew signs and wonders, to seduce, if it were possible, even the elect.;Ezen gezurrezko mesiasak eta sasiprofetak agertuko dira, eta hautetsiak berak ere, ahal balitz, errebelatzeko mirakuluak eta egintza harrigarriak eginen dituzte. ;;ko;;REL;Purpose;nominalization;;;Gospel of Mark - Interconfessional Translation into Southern Standard Basque;;2004;21;Contemporary;Biscay and Guipuscoa;Unified;
(Mark 13,35);Watch ye therefore: for ye know not when the master of the house cometh, at even, or at midnight, or at the cockcrowing, or in the morning:;Zaudezte atzarririk, beraz, ez baitakizue etxeko jauna noiz etorriko den: arratsean, gauerditan, oilarrak kantu egitean ala goizean.;;z;;INS;Cause;connector;;;Gospel of Mark - Interconfessional Translation into Southern Standard Basque;;2004;21;Contemporary;Biscay and Guipuscoa;Unified;
(Mark 14,1);After two days was the feast of the passover, and of unleavened bread: and the chief priests and the scribes sought how they might take him by craft, and put him to death.;Bi egunen buruan, Bazko eta Altxagarri gabeko Ogien besta ziren. Apezburu eta lege-irakasleak Jesus maltzurkeriaz nola arrasta zabiltzan, hiltzeko. ;;ko;;REL;Purpose;nominalization;;;Gospel of Mark - Interconfessional Translation into Southern Standard Basque;;2004;21;Contemporary;Biscay and Guipuscoa;Unified;
(Mark 14,4);And there were some that had indignation within themselves, and said, Why was this waste of the ointment made?;Batzuek, haserre, honela ziotsoten elkarri: –Zergatik horrela alferrik galdu ukendu hori? ;;gatik;;CAUS;Motive;interrogative;;negative;Gospel of Mark - Interconfessional Translation into Southern Standard Basque;;2004;21;Contemporary;Biscay and Guipuscoa;Unified;
(Mark 14,5);For it might have been sold for more than three hundred pence, and have been given to the poor. And they murmured against her.;Hirurehun denarioz goitik sal zitekeen eta dirua behartsuei eman. Eta marmarrean ari ziren emakumearen kontra.;;ren_kontra;;postp;Maleficiary;kinship;;;Gospel of Mark - Interconfessional Translation into Southern Standard Basque;;2004;21;Contemporary;Biscay and Guipuscoa;Unified;
(Mark 14,6);"And Jesus said, Let her alone; why trouble ye her? she hath wrought a good work on me.";"Baina Jesusek esan zien: –Utzi bakean honi; zergatik gogaitarazten duzue? Egintza ona egin du nirekin. ";;gatik;;CAUS;Motive;interrogative;;negative;Gospel of Mark - Interconfessional Translation into Southern Standard Basque;;2004;21;Contemporary;Biscay and Guipuscoa;Unified;
(Mark 14,6);"And Jesus said, Let her alone; why trouble ye her? she hath wrought a good work on me.";"Baina Jesusek esan zien: –Utzi bakean honi; zergatik gogaitarazten duzue? Egintza ona egin du nirekin. ";;rekin;;COM;Beneficiary;pronoun;;;Gospel of Mark - Interconfessional Translation into Southern Standard Basque;;2004;21;Contemporary;Biscay and Guipuscoa;Unified;
(Mark 14,7);For ye have the poor with you always, and whensoever ye will ye may do them good: but me ye have not always.;Izan ere, behartsuak beti dituzue zeuen artean, eta nahi duzuenean egin diezaiekezue on. Baina ni ez nauzue betiko zuekin. ;Cf. FOR + EVER;ko;;REL;Time;time;;lexicalized;Gospel of Mark - Interconfessional Translation into Southern Standard Basque;;2004;21;Contemporary;Biscay and Guipuscoa;Unified;
(Mark 14,10);And Judas Iscariot, one of the twelve, went unto the chief priests, to betray him unto them.;Judas Iskariote, Hamabietako bat, apaizburuengana joan zen, Jesus beraiei eskuetara emateko asmotan.;;ko_asmotan;;CAUS;Purpose;nominalization;;;Gospel of Mark - Interconfessional Translation into Southern Standard Basque;;2004;21;Contemporary;Biscay and Guipuscoa;Unified;
(Mark 14,12);And the first day of unleavened bread, when they killed the passover, his disciples said unto him, Where wilt thou that we go and prepare that thou mayest eat the passover?;Legamia gabeko Ogien Jaiko lehen eguna zen, Pazko-bildotsa hiltzen zeneko eguna. Ikasleek esan zioten Jesusi: –Non egin behar ditugu Pazko-afarirako prestaketak?;;NOT_APPLY;;;;;;;Gospel of Mark - Interconfessional Translation into Southern Standard Basque;;2004;21;Contemporary;Biscay and Guipuscoa;Unified;
(Mark 14,24);And he said unto them, This is my blood of the new testament, which is shed for many.;Eta esan zien: «Hau nire odola da, Jainkoarekiko ituna berrituko duena, guztiengatik isuria.;;gatik;;CAUS;Motive;pronoun;;;Gospel of Mark - Interconfessional Translation into Southern Standard Basque;;2004;21;Contemporary;Biscay and Guipuscoa;Unified;
(Mark 14,38);Watch ye and pray, lest ye enter into temptation. The spirit truly is ready, but the flesh is weak.;Zaudete erne eta egizue otoitz, tentaldian ez erortzeko: gogoz kartsu izan arren, ahula baita gizakia ».;;ko;;REL;Purpose;nominalization;;;Gospel of Mark - Interconfessional Translation into Southern Standard Basque;;2004;21;Contemporary;Biscay and Guipuscoa;Unified;
(Mark 14,48);And Jesus answered and said unto them, Are ye come out, as against a thief, with swords and with staves to take me?;Jesusek esan zien: «Ezpataz eta makilaz etorri zarete, lapur baten bila bezala, ni harrapatzera!;;bila;;postp;Purpose;occupation;;;Gospel of Mark - Interconfessional Translation into Southern Standard Basque;;2004;21;Contemporary;Biscay and Guipuscoa;Unified;
(Mark 14,48);And Jesus answered and said unto them, Are ye come out, as against a thief, with swords and with staves to take me?;Jesusek esan zien: «Ezpataz eta makilaz etorri zarete, lapur baten bila bezala, ni harrapatzera! ;;ra;;ALL;Purpose;nominalization;;;Gospel of Mark - Interconfessional Translation into Southern Standard Basque;;2004;21;Contemporary;Biscay and Guipuscoa;Unified;
(Mark 14,56);For many bare false witness against him, but their witness agreed not together.;askok haren kontra gezurrezko testigantzak egiten bazituzten ere, haien lekukotasunak ez zetozen bat.;;ren_kontra;;postp;Maleficiary;pronoun;;;Gospel of Mark - Interconfessional Translation into Southern Standard Basque;;2004;21;Contemporary;Biscay and Guipuscoa;Unified;
(Mark 14,57);And there arose certain, and bare false witness against him, saying,;Batzuek zutitu eta gezurrezko testigantza hau egin zuten Jesusen kontra:;;ren_kontra;;postp;Maleficiary;person;;;Gospel of Mark - Interconfessional Translation into Southern Standard Basque;;2004;21;Contemporary;Biscay and Guipuscoa;Unified;
(Mark 14,60);And the high priest stood up in the midst, and asked Jesus, saying, Answerest thou nothing? what is it which these witness against thee?;Orduan, apaiz nagusiak, biltzarraren erdian zutik, galdetu zion Jesusi: –Ez al diezu deus ere erantzun behar zure kontra ateratzen dituztenei?;;ren_kontra;;postp;Maleficiary;pronoun;;;Gospel of Mark - Interconfessional Translation into Southern Standard Basque;;2004;21;Contemporary;Biscay and Guipuscoa;Unified;
(Mark 15,3);And the chief priests accused him of many things: but he answered nothing.;Apaizburuek salaketa asko egiten zituzten haren kontra.;;ren_kontra;;postp;Maleficiary;pronoun;;;Gospel of Mark - Interconfessional Translation into Southern Standard Basque;;2004;21;Contemporary;Biscay and Guipuscoa;Unified;
(Mark 15,4);And Pilate asked him again, saying, Answerest thou nothing? behold how many things they witness against thee.;Pilatok esan zion: –Ez al duzu ezer erantzun behar? Begira zenbat gauzaz salatzen zaituzten.;;NOT_APPLY;;;;;;;Gospel of Mark - Interconfessional Translation into Southern Standard Basque;;2004;21;Contemporary;Biscay and Guipuscoa;Unified;
(Mark 15,10);For he knew that the chief priests had delivered him for envy.;Ongi baitzekien apaizburuek bekaizkeriaz emana ziotela Jesus. ;;z;;INS;Force;emotion;;;Gospel of Mark - Interconfessional Translation into Southern Standard Basque;;2004;21;Contemporary;Biscay and Guipuscoa;Unified;
(Mark 15,15);And so Pilate, willing to content the people, released Barabbas unto them, and delivered Jesus, when he had scourged him, to be crucified.;Orduan, Pilatok, jendeari poz emateagatik, Barrabas askatu zien eta Jesus, zigorkarazi ondoren, haien eskuetara eman zuen, gurutziltza zezaten.;;gatik;;CAUS;Motive;nominalization;;;Gospel of Mark - Interconfessional Translation into Southern Standard Basque;;2004;21;Contemporary;Biscay and Guipuscoa;Unified;
(Mark 15,20);And when they had mocked him, they took off the purple from him, and put his own clothes on him, and led him out to crucify him.;Nahikoa iseka egin ondoren, purpurazko jantzia erantzi eta bere soinekoak jarri zizkioten. Gero, atera eta gurutzean josteko eraman zuten.;;ko;;REL;Purpose;nominalization;;;Gospel of Mark - Interconfessional Translation into Southern Standard Basque;;2004;21;Contemporary;Biscay and Guipuscoa;Unified;
(Mark 15,24);And when they had crucified him, they parted his garments, casting lots upon them, what every man should take.;Josi zuten gurutzean, eta haren jantziak banatu egin zituzten, zer zeinentzat zotz eginez.;;rentzat;;BEN;Beneficiary;relative;;;Gospel of Mark - Interconfessional Translation into Southern Standard Basque;;2004;21;Contemporary;Biscay and Guipuscoa;Unified;
(Mark 15,34);And at the ninth hour Jesus cried with a loud voice, saying, Eloi, Eloi, lama sabachthani? which is, being interpreted, My God, my God, why hast thou forsaken me?;Hiruretan, Jesusek oihu handiz esan zuen: «Eloi, Eloi, lema sabaktani?» (Hau da: «Ene Jainko, ene Jainko, zergatik utzi nauzu?»).;;gatik;;CAUS;Cause;interrogative;;;Gospel of Mark - Interconfessional Translation into Southern Standard Basque;;2004;21;Contemporary;Biscay and Guipuscoa;Unified;
(Mark 16,1);And when the sabbath was past, Mary Magdalene, and Mary the mother of James, and Salome, had bought sweet spices, that they might come and anoint him.;Larunbata igaro zenean, Magdalako Mariak, Maria Santiagoren amak eta Salomek usain gozoko ukenduak erosi zituzten, Jesusen gorpua gantzutzeko.;;ko;;REL;Purpose;nominalization;;;Gospel of Mark - Interconfessional Translation into Southern Standard Basque;;2004;21;Contemporary;Biscay and Guipuscoa;Unified;
(Mark 16,14);Afterward he appeared unto the eleven as they sat at meat, and upbraided them with their unbelief and hardness of heart, because they believed not them which had seen him after he was risen.;Azkenik, Hamaikei agertu zitzaien, mahaian eserita zeudela, eta aurpegira bota zien beren sinesgabetasuna eta burugogorkeria, pizturik ikusi zutenei sinetsi ez zietelako.;;NOT_APPLY;;;;;;English gives WITH;Gospel of Mark - Interconfessional Translation into Southern Standard Basque;;2004;21;Contemporary;Biscay and Guipuscoa;Unified;
(Mark 16,14);Afterward he appeared unto the eleven as they sat at meat, and upbraided them with their unbelief and hardness of heart, because they believed not them which had seen him after he was risen.;Azkenik, Hamaikei agertu zitzaien, mahaian eserita zeudela, eta aurpegira bota zien beren sinesgabetasuna eta burugogorkeria, pizturik ikusi zutenei sinetsi ez zietelako.;;NOT_APPLY;;;;;;English gives WITH;Gospel of Mark - Interconfessional Translation into Southern Standard Basque;;2004;21;Contemporary;Biscay and Guipuscoa;Unified;
(Mark 1,4);John did baptize in the wilderness, and preach the baptism of repentance for the remission of sins.;Hola, arren, agertü zen Johane Bateiazalea basabortüan. Bihozberritzea eta bateiatzea oihüstatzen züan, bekatüen parkamentüalako.;;rako;alako;DEST;Purpose;abstract;;;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
(Mark 1,38);And he said unto them, Let us go into the next towns, that I may preach there also: for therefore came I forth.;Harek, aldiz, ihardetsi: «Goatzan beste norabait, üngürüko herrixketarat, horietan ere berrihonaren oihüstatzera, hortarako jinik beiniz.»;;rako;;DEST;Purpose;state_of_affairs;;;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
(Mark 2,4);And when they could not come nigh unto him for the press, they uncovered the roof where he was: and when they had broken it up, they let down the bed wherein the sick of the palsy lay.;Bena jentetzearengatik ezin züen eraman Jesüsenganartino. Ordüan, bera zen eretzean etxegaina zilatü eta zilotik beheiti eraitsi züen baldatüa, etzanik zagon atzean.;;gatik;;CAUS;Force;people;;negative ;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
(Mark 2,7);Why doth this man thus speak blasphemies? who can forgive sins but God only? ;«Zer ari da hori hola mintzo? Bürauka ari dük. Nork parka ditzake bekatüak, Jinkoaz beraz bestek?»;;NOT_APPLY;;;;;;;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
(Mark 2,8);Why reason ye these things in your hearts?;Bena Jesüsek bere barnean haien gogozkak somatü zütüan eta erran zeien: «Zertako dütüzüe gogozka horik züetan?;;ko;;CAUS;Cause;interrogative;;;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
(Mark 2,16);And when the scribes and Pharisees saw him eat with publicans and sinners, they said unto his disciples, How is it that he eateth and drinketh with publicans and sinners?;Farisau lege erakasle zonbaitek, bekatore eta legarkarieki jaten ari zela ikusirik, erran zeien dizipülüer: «Nolatan jaten dü legarkari eta bekatoreeki?» ;;n;;INE;Cause;interrogative;in;;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
(Mark 2,18);Why do the disciples of John and of the Pharisees fast, but thy disciples fast not?;Behin batez, Johanen dizipülüek eta farisauek barur egüna züen. Jesüsengana joan eta erran zeioen: « Nola egiten dügü barur Johanen dizipülüek eta farisauek, eta zure dizipülüek ez? ;;Ø;;;Cause;interrogative;;;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
(Mark 2,24);Behold, why do they on the sabbath day that which is not lawful?;Farisauek erran zeioen Jesüsi: « Nola ari dira egiten, neskanegünaz zilegi ez dena? »;;Ø;;;Cause;interrogative;;;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
(Mark 2,27);The sabbath was made for man, and not man for the sabbath:;Eta, bestalde, erran zeien: « Neskanegüna gizakiaren honealako egin dü Jinkak eta ez gizakia neskanegünaren honealako. ;;ren_onerako;ren_honealako;CAUS;Beneficiary;person;;;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
(Mark 2,27);The sabbath was made for man, and not man for the sabbath:;Eta, bestalde, erran zeien: « Neskanegüna gizakiaren honealako egin dü Jinkak eta ez gizakia neskanegünaren honealako. ;;ren_onerako;ren_honealako;CAUS;Beneficiary;event;;;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
(Mark 2,28);Therefore the Son of man is Lord also of the sabbath.;Arren, neskanegünaren beraren nausi da Gizonaren Semea. »;;rren;;CAUS;Cause;state_of_affairs;connector;;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
(Mark 3,5);being grieved for the hardness of their hearts, he saith unto the man, ;Jesüsek, üngürüko oroer so beltz bat eginik eta haien bürüzkinkeriaz min beitzüan, hola erran zeion gizonari: « Lüza eskü hori. » Harek lüzatü, eta sendotü zeion.;;z;;INS;Cause;abstract;;negative;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
(Mark 3,6);And the Pharisees went forth, and straightway took counsel with the Herodians against him, how they might destroy him.;Hantik elkitzean, farisauek Herodeseren alderdikoeki algarreki bildü ziren Jesüsen kontre, nola eroko züen.;;ren_kontra;ren_kontre;postp;Maleficiary;person;;;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
(Mark 3,9);And he spake to his disciples, that a small ship should wait on him because of the multitude, lest they should throng him.;Harek untzi bat prest etxek lezaen manatü zein dizipülüer, hainbeste jenteren artean leher ez lezaen. ;;NOT_APPLY;;;;;;;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
(Mark 3,14);And he ordained twelve, that they should be with him, and that he might send them forth to preach,;Hamabi izentatü züan, berareki bititzeko eta berrihonaren oihüstatzera igorteko;;ko;;REL;Purpose;nominalization;;;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
(Mark 3,14);And he ordained twelve, that they should be with him, and that he might send them forth to preach,;Hamabi izentatü züan, berareki bititzeko eta berrihonaren oihüstatzera igorteko;;ko;;REL;Purpose;nominalization;;;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
(Mark 3,21);And when his friends heard of it, they went out to lay hold on him: for they said, He is beside himself.;Jesüsen askaziak, jakin züenean, hartü eta eramaiteko asmütan jin ziren, bürütik joanik zela uste beitzüen.;;ko_asmotan;ko_asmütan;CAUS;Purpose;nominalization;;;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
(Mark 3,26);And if Satan rise up against himself, and be divided, he cannot stand, but hath an end.;Ber gisan Satanek ere, bere bürüaren aitzika jaiki eta zatitürik badago, ezin dü iraün eta goihentzalat doa.;;ren_aitzika;;postp_suffix;Maleficiary;pronoun;;;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
(Mark 3,27);"No man can enter into a strong man's house, and spoil his goods, except he will first bind the strong man; and then he will spoil his house.";"Ez daiteke ihor indartsü baten etxera ebastera joan, aitzinetik hura estekatzen ez badü; ordüan bai ebats ditzake haren etxeko hontarzünak.";;ra;;ALL;Purpose;nominalization;;;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
(Mark 3,29);But he that shall blaspheme against the Holy Ghost hath never forgiveness, but is in danger of eternal damnation.;"bena Ezpiritü Saintüaren kontre bürau egiten düanak ez dü ihoiz parkamentürik ükenen; ogendün izanen da betiko. »";;ren_kontra;kontre;postp;Maleficiary;spirit;;;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
(Mark 3,29);But he that shall blaspheme against the Holy Ghost hath never forgiveness, but is in danger of eternal damnation.;"bena Ezpiritü Saintüaren kontre bürau egiten düanak ez dü ihoiz parkamentürik ükenen; ogendün izanen da betiko. »";;ko;;REL;Time;time;lexicalized;;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
(Mark 4,8);"And other fell on good ground, and did yield fruit that sprang up and increased; and brought forth, some thirty, and some sixty, and some an hundred.";"Beste zonbait lür honeala erori zen; sortü zen, arpatü eta frütü eman züan: batetako hogeita hamar edo hirutanogei edo ehün. »";;ko;;REL;Distributive;vegetable;;;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
(Mark 4,17);And have no root in themselves, and so endure but for a time: afterward, when affliction or persecution ariseth for the word's sake, immediately they are offended.;bena errorik gabeak eta iraüpen ttipikoak izanik, mezaüarengatik beharrordüa edo goitzarrena sortü ordüko, erorten dira.;;gatik;;CAUS;Cause;abstract;;;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
(Mark 4,20);"And these are they which are sown on good ground; such as hear the word, and receive it, and bring forth fruit, some thirtyfold, some sixty, and some an hundred.";Eta hona nor diren « lür hona » bezalakoak: mezüa entzüten düenak, honartzen eta frütü ekarten: batetako hogeita hamar edo hirutanogei edo ehün. »;;ko;;REL;Distributive;vegetable;;;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
(Mark 4,40);And he said unto them, Why are ye so fearful? how is it that ye have no faith?;Jesüsek erran zeien: « Zerentako lotseria hori? Nolatan düzüe orano hain sineste güti. » ;;rentako;;BEN;Cause;interrogative;;negative;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
(Mark 4,40);And he said unto them, Why are ye so fearful? how is it that ye have no faith?;Jesüsek erran zeien: « Zerentako lotseria hori? Nolatan düzüe orano hain sineste güti. » ;;n;;INE;Cause;interrogative;;;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
(Mark 5,7);And cried with a loud voice, and said, What have I to do with thee, Jesus, thou Son of the most high God? I adjure thee by God, that thou torment me not.;Eta oihüz erran zeion: «Zer düzü eneki, Jesüs goi goiko Jinkoaren Semea? Otoi, Jinkoaz ez nezazü oinazetan sar!»;;z;;INS;Motive;God;;;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
(Mark 5,32);And he looked round about to see her that had done this thing.;Bena Jesüs üngürüalat so zagon, nork egin ote zeion hori.;;NOT_APPLY;;;;;;;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
(Mark 5,33);But the woman fearing and trembling, knowing what was done in her, came and fell down before him, and told him all the truth.;Ordüan, emazteak, beldürrez ikara —ontsa beitzakian zer agitü zeion—, hoinetara erori eta egia osoa aitortü zeion.;;z;;INS;Force;emotion;;;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
(Mark 5,35);While he yet spake, there came from the ruler of the synagogue's house certain which said, Thy daughter is dead: why troublest thou the Master any further?;Orano mintzo zelarik, sinagogako bürüzagiaren etxetik jin ziren, erraitera: «Hil zaizü alaba. Zertako eman neke haboro Irakasle Jaunari?»;;ko;;REL;Purpose;interrogative;;negative;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
(Mark 5,39);And when he was come in, he saith unto them, Why make ye this ado, and weep? the damsel is not dead, but sleepeth.;Sartü eta erran zeien: «Zerentako hainbeste sülübita eta nigar? Neskatxuna ez dago hilik, lo dago.» ;;rentako;;BEN;Cause;interrogative;;negative;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
(Mark 6,3);Is not this the carpenter, the son of Mary, the brother of James, and Joses, and of Juda, and Simon? and are not his sisters here with us? And they were offended at him.;Ez ote da, arren, maiastürüa, Mariaren semea eta Jakobe, Jüsef, Judas eta Simonen anaia? Eta honen arrebak ere ez ote dira heben gure artean bizi?» Eta horrengatik, ezin züen sinetsi hartan.;;gatik;;CAUS;Cause;state_of_affairs;;negative;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
(Mark 6,6);And he marvelled because of their unbelief.;Eta harritürik zagon haien sineste eskasaz.;;z;;INS;Cause;abstract;;;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
(Mark 6,8);"And commanded them that they should take nothing for their journey, save a staff only; no scrip, no bread, no money in their purse:";"Bidealako deüs ere ez hartzea manatü zeien, makila bat baizik: ez ogirik, ez zakürik ez eta gerrikoan diharürik ere;";;rako;alako;DEST;Time;event;;;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
(Mark 6,11);And whosoever shall not receive you, nor hear you, when ye depart thence, shake off the dust under your feet for a testimony against them. ;Eta nonbait honartzen ez bazütüe eta entzün ez nahi, hantik joaitean, iharraus züen hoinetako errautsa, haien kontreko seinaletako.»;;tako;;ESS;Quality;abstract;;;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
(Mark 6,11);And whosoever shall not receive you, nor hear you, when ye depart thence, shake off the dust under your feet for a testimony against them. ;Eta nonbait honartzen ez bazütüe eta entzün ez nahi, hantik joaitean, iharraus züen hoinetako errautsa, haien kontreko seinaletako.»;;ren_kontra;ren_kontre;postp;Maleficiary;people;–ko is added to the BEN marker.;;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
(Mark 6,14);"And king Herod heard of him; (for his name was spread abroad:) and he said, That John the Baptist was risen from the dead, and therefore mighty works do shew forth themselves in him.";"Jakin züan Herodes erregeak Jesüsen berri, honen izena hanitx aipatüa beitzen. Zonbaitek zioen: «Johane Bateiazalea hilen artetik piztü da; horrengatik dü ikusgarrien egiteko ahal hori.»";;gatik;;CAUS;Cause;state_of_affairs;;;Gospel of Mark - Interconfessional Translation into Souletin Basque;Casenave-Harigile;2002;21;Contemporary;Pays de Soule;Souletin;
